,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10,Level 11,Level 12,Level 13,Level 14,Level 15,Level 16,Level 17,Level 18,Level 19,Level 20,Level 21,Level 22,Level 23,Level 24,Level 25,Level 26,Level 27,Level 28,Level 29
Topic 10,0.13340210111981413,0.11606200946882847,0.12153739784877562,0.10166258318451754,0.11739390287676536,0.11477289283199317,0.08828670940129046,0.17002630254148116,0.10732848377243744,0.1612081757793286,0.10788038241774621,-0.05419269611945212,-0.08593848616292495,0.4730195527848829,0.3972085532914072,0.9258881628461368,-0.32901767549125804,0.30891445045343463,0.7382568006991074,-0.48261731857051393,1.0,,,,,,,,
Topic 11,0.15120372843377516,0.11016907222807636,0.09241982808196836,0.10612174496631407,0.09500698622127618,0.09784791503820038,0.0871636390763872,0.09037808633575549,0.014078983321479764,0.12661495846870238,0.2423874847293805,0.21389792775593777,0.17743847950937533,-0.2558909059145818,0.5847980758342791,0.4320796720893685,0.43695578014936765,0.2916534846028573,-0.47846989411666385,0.10287296983235131,1.0,,,,,,,,
Topic 12,0.53571145465554,0.35855766713084586,0.34658487975973534,0.3491493694433092,0.33726333071014514,0.29757093470381857,0.2902817022990975,0.3213581592698862,0.3050317308273953,0.2292746196851394,0.17652990760942927,0.035338423244157244,0.06559659660149385,0.6519643857111278,-0.18066305941618263,-0.2842166029294653,0.33186171131390074,-0.15282354689605124,-0.2190167684815808,-0.7585714296608677,-1.0,,,,,,,,
Topic 13,0.5002160246617713,0.3934797032550584,0.39682130918412345,0.3838874359529559,0.4108458423698247,0.4027509530429753,0.3741420542714174,0.44437446425128785,0.3629150585970503,0.29330801092535025,0.3108572427522585,0.44880849850903354,0.2422264329889326,0.020241120988083144,-0.12376085685883859,0.03609510559737261,0.8040991193536354,0.9781942854735008,0.0629482089115206,0.1422962743768267,-1.0,,,,,,,,
Topic 14,0.445879154784739,0.39902853331186705,0.3785432103836177,0.3590747290705271,0.37571524094633557,0.307705896300252,0.3282803926952287,0.3163728931824408,0.35778578466043437,0.2520003081295135,0.1697430601182346,0.43923896526131284,-0.024998995274483102,0.2530254248455209,-0.060999108658161126,-0.1596373395055895,-0.30004613613700354,0.9980202929144433,0.8805792797869483,-0.7585694102907792,-1.0,,,,,,,,
Topic 15,0.5054160027156729,0.46433329840844545,0.39868700399900253,0.4151119417062232,0.3674518893418023,0.40687780456089034,0.19943469273907424,0.26765509291659617,0.25441340813170776,0.015652277504148663,0.08280883645906023,0.15817976494375466,0.2878590397977447,0.8347829006906599,0.877307892802472,0.5695449674627263,0.9961748825516741,0.5969444959983194,-0.47847010877841956,-0.758570795336066,1.0,,,,,,,,
Topic 16,0.3319056623803616,0.29727972461355257,0.25359011796477765,0.2679099611286508,0.2402837694288375,0.28730298259760007,0.3038295888044615,0.31421518290525,0.2963528303220779,0.300293465201181,0.2631430995440599,0.3910223688889954,0.2428034918465164,0.3185281607733311,0.6035982266044632,0.9462478887121675,-0.2107543214331001,-0.13791891147451824,-0.15505529949516908,-0.0289916437662055,-1.0,,,,,,,,
Topic 17,0.4678365283736723,0.3239621833623244,0.31441920039960525,0.3039507798821948,0.28415365942949694,0.30145899192370496,0.3358321185084267,0.18750765821670404,0.09940983310753615,-0.04353650747348413,-0.06486023100073944,0.09996867519335079,-0.015754581728330035,0.5216066381361258,0.8733254719477205,-0.1574193490373196,0.1366087946690073,0.9978158947643165,0.028360874765296605,0.31374240142519416,-1.0,,,,,,,,
Topic 18,0.4374074460984816,0.2867766530353936,0.2722618982402755,0.25673577386979113,0.2568429755747677,0.20644607444376928,0.18230904097235293,0.16675748896240616,0.16239800965932064,0.2355360288514402,0.15022672876123785,0.18914321575890278,-0.06663335653240945,0.27944597994759973,0.07480472571426991,0.14006304606670997,0.03448451304371294,0.12438443491370149,-0.20471147968656694,-0.5742152903501133,1.0,,,,,,,,
Topic 19,0.6101692989706426,0.5836275141844705,0.566310030138814,0.5641049374867684,0.5742911053348891,0.5838069154299749,0.6998211501456739,0.5969814920019565,0.4511754776416436,0.44381383023028137,0.39614867639600937,0.5669723689861056,0.3214605809641384,0.45521056927969317,0.8698077656690683,-0.22902086277827768,0.13707675084393856,0.9958873363044812,0.9649351689707699,0.8188892497872321,1.0,,,,,,,,
